CK1	CK2	CK3	JXBR161	JXBR162	JXBR163	R37J161	R37J162	R37J163	RW371	RW372	RW373
Diversisporales	0.00357176426356	0.000246415770609	0.00026122847042	0.0	5.9517432656e-05	1.43008323084e-05	4.84575947588e-05	1.25794075099e-05	1.46888174033e-05	0.000222312794101	0.000338066260987	0.0
Sordariomycetes_ord_Incertae_sedis	0.000845944167685	0.000492831541219	0.000975252956236	0.000910303363888	0.000380911568999	0.000257414981552	0.00137619569115	0.00387445751305	0.00149825937514	0.00316795731594	0.00362976406534	0.0
Tremellales	0.0113732493655	0.00367383512545	0.00560770449835	0.0147130427419	0.0629575402635	0.0111403483683	0.0256825252222	0.0117869048368	0.00859295818094	0.00735484827152	0.00765097327497	5.54271493263e-05
Eurotiales	0.0833536986559	0.499977598566	0.310879295031	0.399792535512	0.459200799914	0.727497640363	0.263473634223	0.123743631675	0.569808604709	0.21417985105	0.101526636063	0.00871869058902
Microascales	5.63962778457e-05	0.000739247311828	0.00141063374027	0.000127019074031	2.38069730624e-05	1.43008323084e-05	0.000251979492746	7.54764450594e-05	7.34440870166e-05	9.26303308755e-05	0.000160136649941	0.00413486533974
Wallemiales	0.0	0.0	0.0	2.11698456718e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00374687529446
Trechisporales	0.000131591314973	0.000134408602151	0.00188084498703	0.001354870123	0.00078563011106	0.000214512484627	0.000455501390733	0.000226429335178	0.00013219935663	0.0377931749972	0.000106757766628	0.0
Paraglomerales	0.00270702133659	8.9605734767e-05	0.0	4.23396913437e-05	3.57104595936e-05	1.43008323084e-05	9.69151895177e-06	0.0	0.0	0.000129682463226	0.0	0.0
Chaetothyriales	0.0395525895291	0.0371863799283	0.0336810574528	0.0135698710756	0.0215334071349	0.00449046134485	0.0462770029947	0.0414743065602	0.0154379470909	0.030790321983	0.0450695704779	0.0
Tubeufiales	0.000263182629946	0.000649641577061	0.000783685411261	0.00182060672778	0.000773726624528	0.00147298572777	0.000377969239119	0.00119504371344	0.000293776348066	0.00259364926452	0.0015479876161	0.0
Sebacinales	0.064084970392	0.00508512544803	0.00963062294283	0.00431864851705	0.000868954516778	0.0236392758059	0.0235406995338	0.00509466004151	0.00331967273315	0.00300122272037	0.0062097434255	0.0
Pleosporales	0.074292696682	0.0457661290323	0.0416920638791	0.0470182272371	0.0337106738564	0.00883791436662	0.0364013451828	0.111428391723	0.0231348874102	0.0878320797362	0.0589658731006	0.00542077520411
Geastrales	0.00714352852712	0.000156810035842	6.96609254454e-05	0.00925122255859	0.000309490649811	0.0499099047565	2.90745568553e-05	0.000201270520159	0.000102821721823	0.00240838860276	0.071794598057	0.0
Ustilaginales	1.87987592819e-05	0.000716845878136	0.00144546420299	0.00139720981434	0.000678498732279	0.000128707490776	0.000465192909685	0.000138373482609	0.000352531617679	0.00902219422728	0.00170812426604	0.00562585565662
Auriculariales	0.000263182629946	0.000268817204301	0.00038313508995	0.0216779219679	0.000547560380435	0.000843749106198	0.0120756326139	0.0568211837222	0.0281437741447	0.000592834117603	0.00236646382691	0.000332562895958
Capnodiales	0.00808346649121	0.00622759856631	0.00518973894568	0.00497491373288	0.0044995179088	0.00253124731859	0.00717172402431	0.018453990817	0.00793196139779	0.0106524880507	0.011565424718	0.000848035384692
Sordariomycetidae_ord_Incertae_sedis	0.00404173324561	0.00546594982079	0.0053638912593	0.00690136968901	0.00201168922377	0.00125847324314	0.00342110618997	0.00967356437512	0.00359876026381	0.00516877246286	0.00590726308672	0.0
Cantharellales	0.00366575805997	0.0121639784946	0.00346563104091	0.000719774752842	0.000535656893904	0.00145868489546	0.000775321516141	0.000176111705139	0.000719752052762	0.015765682315	0.00211736237145	0.000460045339408
Orbiliales	0.00328978287433	0.00089605734767	0.0135142195364	0.00347185469018	0.00146412884334	0.000629236621571	0.00294622176134	0.00212591986917	0.0107228367044	0.000648412316129	0.00297142450447	0.000133025158383
Mortierellales	0.0303223987217	0.00987903225806	0.0141237526341	0.0635095370155	0.0219738361366	0.00384692389097	0.0749251330161	0.00213849927668	0.03456278735	0.100374226537	0.0735916871286	0.00323140280572
Xylariales	0.00257543002162	0.000784050179211	0.000766270179899	0.00160890827106	0.00501136782964	0.00147298572777	0.00168632429761	0.002541040317	0.000881329044199	0.00181555448516	0.00256218639906	0.000293763891429
Onygenales	0.00494407369114	0.00560035842294	0.00395325751903	0.010902470521	0.00460664928758	0.0117695849898	0.0125989746373	0.0172841059186	0.00518515254337	0.00418689095557	0.00451941212057	0.000764894660703
Coniochaetales	0.0402669423818	0.00645161290323	0.00647846606642	0.034316319834	0.0442452594365	0.0089809226897	0.0223389511838	0.0474998427574	0.00613992567458	0.0159138908444	0.0128998968008	0.0
Spizellomycetales	0.000657956574866	0.00530913978495	0.000870761568067	0.0	0.000428525515123	0.000171609987701	0.000862545186707	0.000364802817787	0.000851951409392	0.00261217533069	0.00243763567133	4.98844343937e-05
Cystofilobasidiales	0.000469968982047	0.000492831541219	0.00172410790477	0.0031543070051	0.00198788225071	0.00131567657238	0.012463293372	0.0121391282471	0.00600772631795	0.00200081514691	0.00190384683819	0.0
